timestamp,MSEC,point_id,_VAL,_ENG
29-FEB-2016 02:50:00.017,15,EDESAL.EGT16K6I1,470.00,A
29-FEB-2016 02:50:00.017,15,EDESAL.EGT213_I1,10.00,A
29-FEB-2016 02:50:00.017,15,EDESAL.EGT266KI1,2.00,A
29-FEB-2016 03:05:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 03:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 03:05:00.017,15,EDESAL.EGT166KI1,45.60,A
29-FEB-2016 03:05:00.017,15,EDESAL.EGT16K6I1,470.00,A
29-FEB-2016 03:05:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 03:05:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 03:20:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 03:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 03:20:00.017,15,EDESAL.EGT166KI1,38.40,A
29-FEB-2016 03:20:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 03:20:00.017,15,EDESAL.EGT213_I1,9.00,A
29-FEB-2016 03:20:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 03:35:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 03:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 03:35:00.017,15,EDESAL.EGT166KI1,37.60,A
29-FEB-2016 03:35:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 03:35:00.017,15,EDESAL.EGT213_I1,10.00,A
29-FEB-2016 03:35:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 03:50:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 03:50:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 03:50:00.017,15,EDESAL.EGT166KI1,38.40,A
29-FEB-2016 03:50:00.017,15,EDESAL.EGT16K6I1,400.00,A
29-FEB-2016 03:50:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 03:50:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 04:05:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 04:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 04:05:00.017,15,EDESAL.EGT166KI1,39.20,A
29-FEB-2016 04:05:00.017,15,EDESAL.EGT16K6I1,370.00,A
29-FEB-2016 04:05:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 04:05:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 04:20:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 04:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 04:20:00.017,15,EDESAL.EGT166KI1,38.40,A
29-FEB-2016 04:20:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 04:20:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 04:20:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 04:35:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 04:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 04:35:00.017,15,EDESAL.EGT166KI1,38.40,A
29-FEB-2016 04:35:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 04:35:00.017,15,EDESAL.EGT213_I1,10.00,A
29-FEB-2016 04:35:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 04:50:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 04:50:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 04:50:00.017,15,EDESAL.EGT166KI1,37.60,A
29-FEB-2016 04:50:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 04:50:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 04:50:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 05:05:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 05:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 05:05:00.017,15,EDESAL.EGT166KI1,38.40,A
29-FEB-2016 05:05:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 05:05:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 05:05:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 05:20:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 05:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 05:20:00.017,15,EDESAL.EGT166KI1,38.40,A
29-FEB-2016 05:20:00.017,15,EDESAL.EGT16K6I1,380.00,A
29-FEB-2016 05:20:00.017,15,EDESAL.EGT213_I1,8.50,A
29-FEB-2016 05:20:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 05:35:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 05:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 05:35:00.017,15,EDESAL.EGT166KI1,40.00,A
29-FEB-2016 05:35:00.017,15,EDESAL.EGT16K6I1,390.00,A
29-FEB-2016 05:35:00.017,15,EDESAL.EGT213_I1,9.00,A
29-FEB-2016 05:35:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 05:50:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 05:50:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 05:50:00.017,15,EDESAL.EGT166KI1,48.00,A
29-FEB-2016 05:50:00.017,15,EDESAL.EGT16K6I1,470.00,A
29-FEB-2016 05:50:00.017,15,EDESAL.EGT213_I1,9.50,A
29-FEB-2016 05:50:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 06:05:00.017,15,EDESAL.EGT1_66IS,66.00,KV
29-FEB-2016 06:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 06:05:00.017,15,EDESAL.EGT166KI1,48.80,A
29-FEB-2016 06:05:00.017,15,EDESAL.EGT16K6I1,500.00,A
29-FEB-2016 06:05:00.017,15,EDESAL.EGT213_I1,8.50,A
29-FEB-2016 06:05:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 06:20:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 06:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 06:20:00.017,15,EDESAL.EGT166KI1,48.00,A
29-FEB-2016 06:20:00.017,15,EDESAL.EGT16K6I1,480.00,A
29-FEB-2016 06:20:00.017,15,EDESAL.EGT213_I1,8.50,A
29-FEB-2016 06:20:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 06:35:00.017,15,EDESAL.EGT1_66IS,66.00,KV
29-FEB-2016 06:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 06:35:00.017,15,EDESAL.EGT166KI1,48.80,A
29-FEB-2016 06:35:00.017,15,EDESAL.EGT16K6I1,480.00,A
29-FEB-2016 06:35:00.017,15,EDESAL.EGT213_I1,9.00,A
29-FEB-2016 06:35:00.017,15,EDESAL.EGT266KI1,2.00,A
29-FEB-2016 06:50:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 06:50:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 06:50:00.017,15,EDESAL.EGT166KI1,48.80,A
29-FEB-2016 06:50:00.017,15,EDESAL.EGT16K6I1,480.00,A
29-FEB-2016 06:50:00.017,15,EDESAL.EGT213_I1,8.50,A
29-FEB-2016 06:50:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 07:05:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 07:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 07:05:00.017,15,EDESAL.EGT166KI1,48.00,A
29-FEB-2016 07:05:00.017,15,EDESAL.EGT16K6I1,490.00,A
29-FEB-2016 07:05:00.017,15,EDESAL.EGT213_I1,8.00,A
29-FEB-2016 07:05:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 07:20:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 07:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 07:20:00.017,15,EDESAL.EGT166KI1,47.20,A
29-FEB-2016 07:20:00.017,15,EDESAL.EGT16K6I1,500.00,A
29-FEB-2016 07:20:00.017,15,EDESAL.EGT213_I1,7.50,A
29-FEB-2016 07:20:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 07:35:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 07:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 07:35:00.017,15,EDESAL.EGT166KI1,47.20,A
29-FEB-2016 07:35:00.017,15,EDESAL.EGT16K6I1,480.00,A
29-FEB-2016 07:35:00.017,15,EDESAL.EGT213_I1,8.00,A
29-FEB-2016 07:35:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 07:50:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 07:50:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 07:50:00.017,15,EDESAL.EGT166KI1,46.40,A
29-FEB-2016 07:50:00.017,15,EDESAL.EGT16K6I1,460.00,A
29-FEB-2016 07:50:00.017,15,EDESAL.EGT213_I1,7.50,A
29-FEB-2016 07:50:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 08:05:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 08:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 08:05:00.017,15,EDESAL.EGT166KI1,48.00,A
29-FEB-2016 08:05:00.017,15,EDESAL.EGT16K6I1,470.00,A
29-FEB-2016 08:05:00.017,15,EDESAL.EGT213_I1,6.50,A
29-FEB-2016 08:05:00.017,15,EDESAL.EGT266KI1,1.25,A
29-FEB-2016 08:20:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 08:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 08:20:00.017,15,EDESAL.EGT166KI1,48.00,A
29-FEB-2016 08:20:00.017,15,EDESAL.EGT16K6I1,470.00,A
29-FEB-2016 08:20:00.017,15,EDESAL.EGT213_I1,8.50,A
29-FEB-2016 08:20:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 08:35:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 08:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 08:35:00.017,15,EDESAL.EGT166KI1,49.60,A
29-FEB-2016 08:35:00.017,15,EDESAL.EGT16K6I1,490.00,A
29-FEB-2016 08:35:00.017,15,EDESAL.EGT213_I1,8.50,A
29-FEB-2016 08:35:00.017,15,EDESAL.EGT266KI1,1.75,A
29-FEB-2016 08:50:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 08:50:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 08:50:00.017,15,EDESAL.EGT166KI1,41.60,A
29-FEB-2016 08:50:00.017,15,EDESAL.EGT16K6I1,400.00,A
29-FEB-2016 08:50:00.017,15,EDESAL.EGT213_I1,7.50,A
29-FEB-2016 08:50:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 09:05:00.017,15,EDESAL.EGT1_66IS,67.20,KV
29-FEB-2016 09:05:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 09:05:00.017,15,EDESAL.EGT166KI1,39.20,A
29-FEB-2016 09:05:00.017,15,EDESAL.EGT16K6I1,400.00,A
29-FEB-2016 09:05:00.017,15,EDESAL.EGT213_I1,8.00,A
29-FEB-2016 09:05:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 09:20:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 09:20:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
29-FEB-2016 09:20:00.017,15,EDESAL.EGT166KI1,41.60,A
29-FEB-2016 09:20:00.017,15,EDESAL.EGT16K6I1,410.00,A
29-FEB-2016 09:20:00.017,15,EDESAL.EGT213_I1,7.00,A
29-FEB-2016 09:20:00.017,15,EDESAL.EGT266KI1,1.50,A
29-FEB-2016 09:35:00.017,15,EDESAL.EGT1_66IS,66.60,KV
29-FEB-2016 09:35:00.017,15,EDESAL.EGT1_6K6IS,6.60,KV
