timestamp,MSEC,sequence_number,alarm_id,alarm_class,resource,logged_by,reference,prev_state,log_action,final_state,alarm_message,generation_time
1-MAR-2016 00:00:54.000,0,2557617,RECO_PI_R4_.PS_PRI_GOOD,COMMS,RECO_PI_R4,MASTER_PTM0_RP,RECO_PI_R4_.PS_PRI_GOOD,N,G,G,Primary Channel Failed,1-MAR-2016 00:00:54.000
1-MAR-2016 00:01:50.813,812,2557642,ZANJITAS.ZTZT12RF,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12RF,G,A,A,ZANJITAS ZT12 Recierre Fase= ACTIVA,1-MAR-2016 00:04:35.000
1-MAR-2016 00:01:50.813,812,2557643,ZANJITAS.ZTZT12RT,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12RT,G,A,A,ZANJITAS ZT12 Recierre Tierra= ACTIVA,1-MAR-2016 00:04:34.997
1-MAR-2016 00:01:50.813,812,2557644,ZANJITAS.ZTTR133KVPI,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTTR133KVPI,R,A,D,ZANJITAS TR1 33KV Proteccion iniciada= INACTIVA,1-MAR-2016 00:04:25.277
1-MAR-2016 00:01:50.813,812,2557645,ZANJITAS.ZTTR133KVAG,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTTR133KVAG,R,A,D,ZANJITAS TR1 33KV Arranque General= INACTIVA,1-MAR-2016 00:04:25.277
1-MAR-2016 00:01:50.813,812,2557646,ZANJITAS.ZTZT12RI,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12RI,R,A,D,ZANJITAS ZT12 Recierre iniciado= INACTIVA,1-MAR-2016 00:04:24.977
1-MAR-2016 00:01:50.813,812,2557647,ZANJITAS.ZTZT12AP,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12AP,R,A,D,ZANJITAS ZT12 Apertura Proteccion= INACTIVA,1-MAR-2016 00:04:24.960
1-MAR-2016 00:01:50.813,812,2557648,ZANJITAS.ZTZT12AS1IOM,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12AS1IOM,R,A,D,ZANJITAS ZT12 Apert Sobrecorr 1 Io>= INACTIVA,1-MAR-2016 00:04:24.957
1-MAR-2016 00:01:50.813,812,2557649,ZANJITAS.ZTZT12PI,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12PI,R,A,D,ZANJITAS ZT12 Proteccion iniciada= INACTIVA,1-MAR-2016 00:04:24.700
1-MAR-2016 00:01:50.813,812,2557650,ZANJITAS.ZTZT12AG,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12AG,R,A,D,ZANJITAS ZT12 Arranque General= INACTIVA,1-MAR-2016 00:04:24.700
1-MAR-2016 00:02:39.000,0,2557619,RECO_PI_R4_.PS_PRI_GOOD,COMMS,RECO_PI_R4,MASTER_PTM0_RP,RECO_PI_R4_.PS_PRI_GOOD,A,R,D,Primary Channel OK,1-MAR-2016 00:00:54.000
1-MAR-2016 00:03:30.483,484,2557674,ZANJITAS.ZTTR133KVPI,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTTR133KVPI,R,A,D,ZANJITAS TR1 33KV Proteccion iniciada= INACTIVA,1-MAR-2016 00:04:49.363
1-MAR-2016 00:03:30.483,484,2557675,ZANJITAS.ZTTR133KVAG,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTTR133KVAG,R,A,D,ZANJITAS TR1 33KV Arranque General= INACTIVA,1-MAR-2016 00:04:49.363
1-MAR-2016 00:03:30.483,484,2557676,ZANJITAS.ZTZT12CB,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12CB,G,A,A,ZANJITAS ZT12 Control Bloqueado= ACTIVA,1-MAR-2016 00:04:49.077
1-MAR-2016 00:03:30.483,484,2557677,ZANJITAS.ZTZT12EI,4SDIG,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12EI,R,A,D,ZANJITAS ZT12 Estado Interruptor= ABIERTO,1-MAR-2016 00:04:49.063
1-MAR-2016 00:03:30.483,484,2557678,ZANJITAS.ZTZT12AP,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12AP,G,A,A,ZANJITAS ZT12 Apertura Proteccion= ACTIVA,1-MAR-2016 00:04:49.063
1-MAR-2016 00:03:30.483,484,2557679,ZANJITAS.ZTZT12AS1IOM,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12AS1IOM,G,A,A,ZANJITAS ZT12 Apert Sobrecorr 1 Io>= ACTIVA,1-MAR-2016 00:04:49.060
1-MAR-2016 00:03:30.483,484,2557680,ZANJITAS.ZTZT12PI,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12PI,R,A,D,ZANJITAS ZT12 Proteccion iniciada= INACTIVA,1-MAR-2016 00:04:48.797
1-MAR-2016 00:03:30.483,484,2557681,ZANJITAS.ZTZT12AG,ALARM,ZANJITAS,ADMINISTRATOR,ZANJITAS.ZTZT12AG,R,A,D,ZANJITAS ZT12 Arranque General= INACTIVA,1-MAR-2016 00:04:48.797
1-MAR-2016 00:04:24.700,699,2557620,ZANJITAS.ZTZT12AG,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12AG,N,G,G,ZANJITAS ZT12 Arranque General= ACTIVA,1-MAR-2016 00:04:24.700
1-MAR-2016 00:04:24.700,699,2557621,ZANJITAS.ZTZT12PI,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12PI,N,G,G,ZANJITAS ZT12 Proteccion iniciada= ACTIVA,1-MAR-2016 00:04:24.700
1-MAR-2016 00:04:24.957,956,2557622,ZANJITAS.ZTZT12AS1IOM,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12AS1IOM,N,G,G,ZANJITAS ZT12 Apert Sobrecorr 1 Io>= ACTIVA,1-MAR-2016 00:04:24.957
1-MAR-2016 00:04:24.960,959,2557623,ZANJITAS.ZTZT12CC,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12CC,A,R,D,ZANJITAS ZT12 Cierre Comando= INACTIVA,29-FEB-2016 12:51:07.843
1-MAR-2016 00:04:24.960,959,2557624,ZANJITAS.ZTZT12CIL,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12CIL,A,R,D,ZANJITAS ZT12 Cierre Local= INACTIVA,29-FEB-2016 12:51:07.843
1-MAR-2016 00:04:24.960,959,2557625,ZANJITAS.ZTZT12AP,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12AP,N,G,G,ZANJITAS ZT12 Apertura Proteccion= ACTIVA,1-MAR-2016 00:04:24.960
1-MAR-2016 00:04:24.973,973,2557626,ZANJITAS.ZTZT12AG,ALARM,ZANJITAS,MASTER_PTM0_RP,ZANJITAS.ZTZT12AG,G,R,R,ZANJITAS ZT12 Arranque General= INACTIVA,1-MAR-2016 00:04:24.700
